time,value
2024-07-07T00:23:14.009924055Z,{"lat":11.109846964571965,"lon":106.61494418258475}
2024-07-07T00:23:15.047662719Z,{"lat":11.109806090473091,"lon":106.61495105418263}
2024-07-07T00:23:16.037508248Z,{"lat":11.110607139749138,"lon":106.61512931370109}
2024-07-07T00:23:17.142191812Z,{"lat":11.110467068940988,"lon":106.6151005079869}
2024-07-07T00:23:18.062790893Z,{"lat":11.110395883352693,"lon":106.61508441281998}
2024-07-07T00:23:19.115783888Z,{"lat":11.110369350060942,"lon":106.61516467722886}
2024-07-07T00:23:19.96774633Z,{"lat":11.110350745807112,"lon":106.61516718943243}
2024-07-07T00:23:20.97369257Z,{"lat":11.110358173862894,"lon":106.61516688953857}
2024-07-07T00:23:22.008381639Z,{"lat":11.110358218097211,"lon":106.61516719428964}
2024-07-07T00:23:23.028050916Z,{"lat":11.110360468107247,"lon":106.6151634461694}
2024-07-07T00:23:24.047715915Z,{"lat":11.110361106531766,"lon":106.61516283644269}
2024-07-07T00:23:25.057463314Z,{"lat":11.110364746941693,"lon":106.61515754394333}
2024-07-07T00:23:26.073728876Z,{"lat":11.110370055409152,"lon":106.61515167112883}
2024-07-07T00:23:27.09448198Z,{"lat":11.110379848923955,"lon":106.61514957094482}
2024-07-07T00:23:28.107538723Z,{"lat":11.110379848923758,"lon":106.61514957094482}
2024-07-07T00:23:29.127853687Z,{"lat":11.11039093478439,"lon":106.6151834794533}
2024-07-07T00:23:30.147673766Z,{"lat":11.110426153846326,"lon":106.61523841994514}
2024-07-07T00:23:31.157734089Z,{"lat":11.110453533679854,"lon":106.61528357074195}
2024-07-07T00:23:32.177920902Z,{"lat":11.11047295606953,"lon":106.61532639166673}
2024-07-07T00:23:33.195518483Z,{"lat":11.110499343659072,"lon":106.61536839814607}
2024-07-07T00:23:34.20802276Z,{"lat":11.110518139437078,"lon":106.61543012732125}
2024-07-07T00:23:35.245950811Z,{"lat":11.110538570245874,"lon":106.61551326110462}
2024-07-07T00:23:36.247697397Z,{"lat":11.110589937213946,"lon":106.61563359585726}
2024-07-07T00:23:37.262635576Z,{"lat":11.11063447809305,"lon":106.61574689605574}
2024-07-07T00:23:38.277685799Z,{"lat":11.110674201919567,"lon":106.61586290926628}
2024-07-07T00:23:39.297767927Z,{"lat":11.110719520865425,"lon":106.61600379572681}
2024-07-07T00:23:40.307500553Z,{"lat":11.11076738684047,"lon":106.61613452987142}
2024-07-07T00:23:41.305713255Z,{"lat":11.1108110433696,"lon":106.6162624760242}
2024-07-07T00:23:42.325764743Z,{"lat":11.110848636208702,"lon":106.61637821506028}
2024-07-07T00:23:43.317581798Z,{"lat":11.110991027387575,"lon":106.61658297512946}
2024-07-07T00:23:44.349178151Z,{"lat":11.111038789582977,"lon":106.6167126366304}
2024-07-07T00:23:45.33252231Z,{"lat":11.11108580126463,"lon":106.61684130906183}
2024-07-07T00:23:46.377767486Z,{"lat":11.111134581704823,"lon":106.61697423455846}
2024-07-07T00:23:47.446777329Z,{"lat":11.111189230033602,"lon":106.61710978742755}
2024-07-07T00:23:48.41568923Z,{"lat":11.111243683557806,"lon":106.61724786903758}
2024-07-07T00:23:49.428558787Z,{"lat":11.1112976752599,"lon":106.61738921300625}
2024-07-07T00:23:50.450949298Z,{"lat":11.111351940088666,"lon":106.61753416005644}
2024-07-07T00:23:51.457913741Z,{"lat":11.11138413781884,"lon":106.61763603738927}
2024-07-07T00:23:52.530780154Z,{"lat":11.111431677279386,"lon":106.61775133081456}
2024-07-07T00:23:53.497473934Z,{"lat":11.11147568047139,"lon":106.61787293298984}
2024-07-07T00:23:54.520328171Z,{"lat":11.111514800162356,"lon":106.61798466036187}
2024-07-07T00:23:55.533480279Z,{"lat":11.111549425332656,"lon":106.6180706638129}
2024-07-07T00:23:56.539599994Z,{"lat":11.11156814292108,"lon":106.6181190172901}
2024-07-07T00:23:57.544557889Z,{"lat":11.111580356135862,"lon":106.61815056786054}
2024-07-07T00:23:58.578928382Z,{"lat":11.111567770102772,"lon":106.61816747453997}
2024-07-07T00:23:59.591831723Z,{"lat":11.111303543581919,"lon":106.61826202208877}
2024-07-07T00:24:00.586936757Z,{"lat":11.111161902136214,"lon":106.61829548192277}
2024-07-07T00:24:01.618812811Z,{"lat":11.111021701090548,"lon":106.61836160376842}
2024-07-07T00:24:02.629225217Z,{"lat":11.110869764096392,"lon":106.61843959233147}
2024-07-07T00:24:03.655768719Z,{"lat":11.110726739579862,"lon":106.6185171213507}
2024-07-07T00:24:04.655668255Z,{"lat":11.110582439477023,"lon":106.61859654341127}
2024-07-07T00:24:05.679109481Z,{"lat":11.110432718955233,"lon":106.61867372009188}
2024-07-07T00:24:06.713843848Z,{"lat":11.110282540973229,"lon":106.61873474652745}
2024-07-07T00:24:07.720799795Z,{"lat":11.11012759335351,"lon":106.61880229797575}
2024-07-07T00:24:08.748947125Z,{"lat":11.109968997717344,"lon":106.61886085240982}
